OCLC #,Title,Author,Language,Item type,Publication,Publisher,Year,Database,Notes,Added date
496285972,"Risk, exposure, and health",John D Spengler; Howard Hu; Robin M Whyatt; Annenberg/CPB.; Harvard-Smithsonian Center for Astrophysics.; Harvard Environmental Economics Program.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",2007.0,,,2012-08-24 07:14
496286886,Human population dynamics,David E Bloom; Deborah Balk; Martha Farnsworth Riche; Annenberg/CPB.; Harvard-Smithsonian Center for Astrophysics.; Harvard Environmental Economics Program.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",2007.0,,,2012-08-24 07:14
496285967,Ecosystems,Paul Moorcroft; Robert L Crabtree; Stuart James Davies; Annenberg/CPB.; Harvard-Smithsonian Center for Astrophysics.; Harvard Environmental Economics Program.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",2007.0,,,2012-08-24 07:14
496286900,Water resources,Charles F Harvey; Wendy D Graham; Thomas Maddock; Annenberg/CPB.; Harvard-Smithsonian Center for Astrophysics.; Harvard Environmental Economics Program.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",2007.0,,,2012-08-24 07:14
496285962,Oceans,James J McCarthy; Mark A Cane; Sallie W Chisholm; Annenberg/CPB.; Harvard-Smithsonian Center for Astrophysics.; Harvard Environmental Economics Program.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",2007.0,,,2012-08-24 07:14
496286732,Atmospheric pollution,"Daniel J Jacob; Charles E Kolb, Jr.; Luisa T Molina; Annenberg/CPB.; Harvard-Smithsonian Center for Astrophysics.; Harvard Environmental Economics Program.;",English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",2007.0,,,2012-08-24 07:14
496286654,Agriculture,N  Michele Holbrook; Peter E Kenmore; P  A Matson; Annenberg/CPB.; Harvard-Smithsonian Center for Astrophysics.; Harvard Environmental Economics Program.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",2007.0,,,2012-08-24 07:14
496285980,Energy challenges,John P Holdren; John H Shaw; Andy Aden; Neeraj Gupta; Annenberg/CPB.; Harvard-Smithsonian Center for Astrophysics.; Harvard Environmental Economics Program.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",2007.0,,,2012-08-24 07:14
496286538,"Many planets, one Earth",Daniel P Schrag; Paul F Hoffman; Andrew H Knoll; Annenberg/CPB.; Harvard-Smithsonian Center for Astrophysics.; Harvard Environmental Economics Program.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",2007.0,,,2012-08-24 07:14
31524274,Where should we start?,Matthew H Schneps; Ara Sahiner; Alex Griswold; Chantal L  A Fujiwara; Lisa Freidman; Jim Chin; Robert Tai; Philip Scott; Nancy Finkelstein; Harvard-Smithsonian Center for Astrophysics. Science Education Dept.; Massachusetts Corporation for Educational Telecommunications.; Mass LearnPike.; Annenberg/CPB Math and Science Project.; Private Universe Project.;,English,video_vhs,,"[Cambridge, Mass.] : President and Fellows of Harvard College",1995.0,,,2012-08-24 07:14
